[2025-08-02 18:30:16] [INFO    ] discord.client: logging in using static token
[2025-08-02 18:30:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-02 18:30:17] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-02 18:30:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1401115928413995038', 'username': 'น้องบางพลี', 'avatar': '1754058c853e50a41ea2cb9762b4ea2c', 'discriminator': '5304', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-02 18:30:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-02 18:30:17] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-02 18:30:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1401115928413995038', 'name': '𝓝𝓸𝓷𝓰𝓑𝓪𝓷𝓰𝓟𝓵𝓮𝓮  ', 'icon': '1754058c853e50a41ea2cb9762b4ea2c', 'description': '', 'type': None, 'bot': {'id': '1401115928413995038', 'username': 'น้องบางพลี', 'avatar': '1754058c853e50a41ea2cb9762b4ea2c', 'discriminator': '5304', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '2d0e9edf9ab4d8d3331e2ee4278b0910c3feef402b2af232242c969a8a956b69', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '627763114674487300', 'username': 'koyanag1', 'avatar': '7b05116725397a18088dd50122f74fd5', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 476350, 'global_name': 'Koyanagi', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#0744be', 'clan': {'identity_guild_id': '963760374543450182', 'identity_enabled': True, 'tag': 'WUWA', 'badge': 'bb6f447245dd4c9243d2aeb61d26154d'}, 'primary_guild': {'identity_guild_id': '963760374543450182', 'identity_enabled': True, 'tag': 'WUWA', 'badge': 'bb6f447245dd4c9243d2aeb61d26154d'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-02 18:30:18] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-02 18:30:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-g2p4",{"micros":0.0}]']}}
[2025-08-02 18:30:18] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-02 18:30:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
